dynamicColors	mergedColors
ASB8	turquoise	pink
ASB9	grey	grey
ASCC1	blue	blue
ASCC2	turquoise	pink
ASCC3	turquoise	pink
ASCL1	grey	grey
ASCL2	grey	grey
ASCL5	grey	grey
ASF1A	grey	grey
ASF1B	blue	blue
ASGR1	grey	grey
ASGR2	grey	grey
ASH1L	turquoise	pink
ASH2L	grey	grey
ASIC1	grey	grey
ASIC2	grey	grey
ASIC3	brown	brown
ASIC4	grey	grey
ASIC5	grey	grey
ASIP	grey	grey
ASMT	grey	grey
ASMTL	grey	grey
ASPA	red	red
ASPDH	brown	brown
ASPG	grey	grey
ASPH	grey	grey
ASPHD1	grey	grey
ASPM	blue	blue
ASPN	green	green
ASPRV1	grey	grey
ASPSCR1	brown	brown
ASRGL1	grey	grey
ASTN1	grey	grey
ASTN2	black	black
ASXL1	turquoise	pink
ASXL2	turquoise	pink
ASXL3	grey	grey
ASZ1	grey	grey
ATAD1	turquoise	pink
ATAD2	blue	blue
ATAD2B	turquoise	pink
ATAD3B	brown	brown
ATAD3C	grey	grey
ATAD5	blue	blue
ATAT1	brown	brown
ATCAY	grey	grey
ATE1	turquoise	pink
ATF1	turquoise	pink
ATF2	turquoise	pink
ATF3	grey	grey
ATF5	grey	grey
ATF6	turquoise	pink
ATF6B	turquoise	pink
ATF7	turquoise	pink
ATF7IP	turquoise	pink
ATF7IP2	grey	grey
ATG10	turquoise	pink
ATG12	turquoise	pink
ATG13	turquoise	pink
ATG14	turquoise	pink
ATG16L1	blue	blue
ATG16L2	brown	brown
ATG2A	turquoise	pink
ATG2B	turquoise	pink
ATG3	pink	pink
ATG4A	grey	grey
ATG4B	brown	brown
ATG4C	pink	pink
ATG5	grey	grey
ATG7	yellow	magenta
ATG9B	grey	grey
ATIC	blue	blue
ATL2	grey	grey
ATL3	turquoise	pink
ATM	turquoise	pink
ATMIN	turquoise	pink
ATN1	turquoise	pink
ATOH7	grey	grey
ATOH8	blue	blue
ATOX1	grey	grey
ATP10A	grey	grey
ATP10B	grey	grey
ATP10D	yellow	magenta
ATP11A	turquoise	pink
ATP11B	pink	pink
ATP11C	turquoise	pink
ATP12A	grey	grey
ATP13A1	turquoise	pink
ATP13A2	turquoise	pink
ATP13A3	pink	pink
ATP13A4	red	red
ATP13A5	grey	grey
ATP1A1	turquoise	pink
ATP1A2	red	red
ATP1A4	grey	grey
